T,L,Lg,Lt,Ls,Lb,S,Sg,St,Ss,Sb,M,Mg,Mt,Ms,Mb,R,Rg,Rt,Rs,Rb,A,Ag,At,As,Ab,E,Eg,Et,Es,Eb,V,Vg,Vt,Vs,Vb,J,Jg,Jt,Js,Jb,U,Ug,Ut,Us,Ub,K,Kg,Kt,Ks,Kb
20180906, 210.19885563651906, 5, 6, 2, 3, 100.79291749118912, 2, 7, 1, 3, 140.22366684593624, 1, 4, 6, 6, 99.68051677212212, 2, 7, 4, 7, 275.3304531061005, 7, 1, 3, 3, 127.42071585794008, 1, 12, 11, 2, 184.15535155645745, 4, 5, 4, 7, 204.0079428904238, 4, 6, 3, 3, 248.5035987821313, 6, 12, 6, 4, 279.68051677212213, 7, 1, 4, 3
20180910, 215.4225114065764, 5, 7, 7, 6, 159.85034924293768, 3, 1, 4, 3, 144.10820991856113, 1, 4, 3, 3, 99.46870114700071, 2, 7, 4, 6, 275.98201100537227, 7, 1, 3, 2, 134.88052721622776, 1, 4, 4, 7, 187.04321249254212, 4, 11, 11, 6, 204.6171136116025, 4, 6, 3, 1, 248.52008720377472, 6, 12, 6, 4, 279.46870114700073, 7, 1, 4, 7
20180913, 219.14262919922885, 5, 7, 4, 11, 201.38219490453363, 4, 6, 6, 2, 147.02687500487812, 1, 1, 1, 7, 99.30983942816505, 2, 7, 4, 6, 276.599033765972, 7, 1, 3, 6, 140.5928315229777, 1, 4, 6, 7, 189.03306858808355, 4, 11, 6, 7, 205.09274495844295, 4, 6, 3, 11, 248.5495910222768, 6, 12, 6, 4, 279.30983942816505, 7, 1, 4, 7
20180917, 223.86246677608304, 5, 7, 11, 3, 251.26548731518798, 6, 12, 7, 6, 150.92565346884982, 3, 1, 11, 1, 99.09802380305658, 2, 7, 4, 11, 277.5829849317029, 7, 1, 12, 7, 148.15806071495211, 1, 1, 2, 12, 191.41512379834734, 4, 11, 7, 4, 205.7506429501186, 4, 6, 3, 7, 248.61173383518926, 6, 12, 6, 4, 279.0980238030566, 7, 1, 4, 6
20180920, 227.23808494985875, 5, 3, 3, 4, 286.74443703273545, 7, 2, 7, 4, 153.85528550161683, 3, 1, 7, 4, 98.93916208422999, 2, 7, 4, 11, 278.43474885348377, 7, 1, 4, 2, 153.71606405074388, 3, 1, 7, 12, 192.9700556299706, 4, 11, 3, 4, 206.26099277834248, 4, 6, 12, 6, 248.67535357934915, 6, 12, 6, 4, 278.93916208422996, 7, 1, 4, 6
20180924, 231.54265456808074, 5, 3, 4, 12, 335.2960863569824, 6, 7, 7, 6, 157.7690230974685, 3, 1, 12, 3, 98.72734645913472, 2, 7, 4, 2, 279.7115019296022, 7, 1, 4, 3, 160.92071606791256, 3, 2, 2, 4, 194.68800178534514, 4, 11, 12, 2, 206.96277079073212, 4, 6, 4, 1, 248.78264875037948, 6, 12, 6, 1, 278.7273464591347, 7, 1, 4, 11
20180927, 234.6385792147049, 5, 3, 11, 6, 13.897041007917469, 5, 4, 4, 2, 160.71009100973458, 3, 2, 2, 3, 98.56848474031784, 2, 7, 4, 1, 280.76765023217195, 7, 2, 2, 3, 166.15987711032628, 3, 2, 7, 3, 195.6755011631386, 4, 11, 4, 1, 207.50424038355504, 4, 6, 4, 11, 248.8797733429523, 6, 12, 6, 2, 278.56848474031784, 7, 1, 4, 5
20181001, 238.60982833621608, 5, 3, 7, 12, 68.13168150227186, 3, 11, 11, 4, 164.6393107221694, 3, 2, 6, 3, 98.35666911523522, 2, 7, 4, 4, 282.29699458503825, 7, 2, 11, 6, 172.9306003447107, 3, 2, 1, 6, 196.53849197323103, 4, 11, 4, 6, 208.24515221419074, 4, 6, 4, 7, 249.03111534056978, 6, 12, 6, 5, 278.3566691152352, 7, 1, 4, 2
20181004, 241.4833067517925, 6, 12, 4, 5, 110.60597545812863, 2, 3, 4, 6, 167.59212767059677, 3, 2, 7, 6, 98.19780739642864, 2, 7, 4, 4, 283.52812705622813, 7, 2, 11, 1, 177.85599522281132, 3, 5, 6, 11, 196.8113219621436, 4, 11, 4, 7, 208.81422193736245, 4, 6, 1, 2, 249.16071242136434, 6, 12, 6, 11, 278.19780739642863, 7, 1, 4, 1
20181008, 245.19138925579503, 6, 12, 5, 3, 168.227499337911, 3, 2, 3,-4, 171.5371383921713, 3, 2,-4, 11, 97.9859917713593, 2, 7, 12, 7, 285.27242972788576, 7, 2, 6, 2, 184.23415026770334,-4, 5,-4, 7,-196.63530633717141,-4, 11,-4, 6, 209.58962802780684,-4, 6, 2, 5, 249.35447517600642, 6, 12, 7, 7, 277.9859917713593, 7, 1,-4,-4
20181011, 247.89034817665987, 6, 12, 6, 7, 209.37032717821484,-4, 6, 1,-4, 174.50185259457294, 3, 5, 11, 6, 97.8271300525618, 2, 7, 12, 6, 286.6517367258966, 7, 2, 7,-4, 188.88476321037848,-4, 11, 6, 6,-196.08410301598946,-4, 11,-4, 11, 210.18285728064063, 5, 6, 2, 3, 249.51515213270397, 6, 12, 7, 7, 277.8271300525618, 7, 1,-4,-4
20181015, 251.39312153862957, 6, 12, 7, 6, 259.2478096526167, 6,-4, 11, 3, 178.46273815966205, 3, 5, 7, 3, 97.61531442750504, 2, 7, 12, 5, 288.5773358643632, 7, 2, 3, 2, 194.91671352484505,-4, 11, 12, 6,-194.8021158654401,-4, 11, 12, 11, 210.98821989852863, 5, 6, 5, 3, 249.74926800858807, 6, 12, 7, 3, 277.61531442750504, 7, 1, 12, 7
