2016-10-31	14	19	24	32	36	42	35
2016-10-27	3	5	8	21	40	46	30
2016-10-24	2	15	18	24	34	35	48
2016-10-20	5	14	20	23	36	49	30
2016-10-17	3	7	9	27	39	44	48
2016-10-13	16	20	31	32	40	41	13
2016-10-10	3	18	24	30	35	49	44
2016-10-06	6	13	19	25	26	39	35
2016-10-03	6	9	14	27	28	46	2
2016-09-29	1	3	4	24	34	48	29
2016-09-26	6	9	15	27	37	48	24
2016-09-22	8	11	28	34	40	46	48
2016-09-19	14	17	26	31	41	45	30
2016-09-15	2	20	21	25	27	38	28
2016-09-12	3	10	18	22	48	49	41
2016-09-08	4	6	11	13	26	31	17
2016-09-05	3	9	14	21	32	40	7
2016-09-01	3	4	12	15	28	48	8
2016-08-29	11	19	23	32	48	49	34
2016-08-25	5	6	11	25	35	40	44
2016-08-22	1	10	35	36	41	49	48
2016-08-18	2	10	11	21	26	36	18
2016-08-15	3	16	18	31	35	38	29
2016-08-11	13	22	30	32	45	46	29
2016-08-08	4	9	23	26	34	44	21
2016-08-04	1	8	29	31	37	42	23
2016-08-01	6	14	24	36	37	39	27
2016-07-28	4	6	8	15	29	36	9
2016-07-25	6	26	38	40	44	49	16
2016-07-21	2	14	18	27	31	44	26
2016-07-18	8	11	22	35	36	46	43
2016-07-14	2	11	14	16	31	44	19
2016-07-11	7	21	22	30	35	39	19
2016-07-07	4	6	13	15	21	30	49
2016-07-04	11	18	26	27	34	46	22
2016-06-30	11	12	15	16	21	32	47
2016-06-27	1	12	13	14	38	40	34
2016-06-23	1	3	5	8	20	44	22
2016-06-20	4	6	14	18	19	35	42
2016-06-16	5	11	30	36	44	46	16
2016-06-13	6	18	22	24	26	30	36
2016-06-09	12	21	27	28	35	43	47
2016-06-06	2	7	12	19	29	36	20
2016-06-02	1	15	23	25	33	42	44
2016-05-30	8	12	24	33	35	39	22
2016-05-26	7	15	19	31	32	40	47
2016-05-23	7	12	20	24	30	31	43
2016-05-19	2	17	19	23	32	49	33
2016-05-16	1	10	24	26	36	47	4
2016-05-12	1	4	23	40	46	48	34
2016-05-09	1	12	26	29	39	49	42
2016-05-05	9	20	23	46	48	49	42
2016-05-02	6	7	8	9	14	19	48
2016-04-28	3	20	26	31	34	40	30
2016-04-25	1	3	4	22	37	41	31
2016-04-21	13	14	19	32	33	48	42
2016-04-18	11	14	21	28	30	39	49
2016-04-14	3	4	19	26	28	34	30
2016-04-11	9	13	16	18	48	49	42
2016-04-07	1	7	30	32	38	46	23
2016-04-04	10	15	22	28	34	38	12
2016-03-31	20	21	22	31	39	46	32
2016-03-28	8	9	15	28	36	39	33
2016-03-24	4	9	28	35	38	44	36
2016-03-21	8	12	20	39	43	47	9
2016-03-17	2	3	20	21	30	33	12
2016-03-14	8	10	24	29	31	33	4
2016-03-10	25	29	32	33	34	49	13
2016-03-07	9	18	30	33	45	47	25
2016-03-03	6	14	24	33	38	41	25
2016-02-29	8	11	15	17	28	47	18
2016-02-25	7	14	17	23	35	49	31
2016-02-22	10	18	22	37	39	40	46
2016-02-19	16	18	20	21	27	49	23
2016-02-15	3	5	29	40	43	49	21
2016-02-11	7	8	17	39	46	49	13
2016-02-08	13	14	16	21	24	42	7
2016-02-04	2	21	26	34	39	49	3
2016-02-01	9	10	11	22	23	32	6
2016-01-28	4	20	22	40	41	48	21
2016-01-25	16	17	19	35	40	48	37
2016-01-21	2	11	23	24	33	44	28
2016-01-18	4	11	40	43	48	49	17
2016-01-14	1	2	4	7	28	41	18
2016-01-11	13	20	22	29	36	37	33
2016-01-07	3	5	6	20	21	45	33
2016-01-04	3	9	18	28	31	46	32
2015-12-31	9	21	23	35	38	41	36
2015-12-28	7	15	16	17	35	47	41
2015-12-24	10	20	21	27	33	46	37
2015-12-21	11	14	18	22	35	43	28
2015-12-17	2	12	17	19	20	33	27
2015-12-14	6	21	25	29	33	40	31
2015-12-10	4	8	11	39	44	46	29
2015-12-07	5	24	26	36	44	49	19
2015-12-03	17	20	34	37	43	48	32
2015-11-30	11	31	35	37	44	46	42
2015-11-26	2	24	34	43	44	46	28
2015-11-23	5	31	36	39	44	46	43
2015-11-19	1	14	19	37	40	47	9
2015-11-16	3	5	18	41	46	48	40
2015-11-12	8	10	11	12	33	41	1
2015-11-09	3	17	36	40	48	49	12
2015-11-05	2	26	27	28	37	47	17
2015-11-02	1	10	18	27	35	48	30
2015-10-29	7	9	18	26	36	46	43
2015-10-26	1	5	22	28	48	49	8
2015-10-22	5	16	22	29	48	49	27
2015-10-19	10	13	27	36	39	45	47
2015-10-15	7	14	23	25	28	33	31
2015-10-12	6	11	17	28	41	48	19
2015-10-08	6	8	15	20	25	45	22
2015-10-05	1	4	7	20	26	28	18
2015-10-01	3	6	15	27	36	41	49
2015-09-28	12	32	35	40	41	47	25
2015-09-24	8	16	25	29	31	40	11
2015-09-21	8	9	10	19	28	33	24
2015-09-17	5	8	20	30	35	49	12
2015-09-14	3	13	14	19	25	31	47
2015-09-10	27	33	38	39	41	47	35
2015-09-07	1	3	12	15	26	31	16
2015-09-03	1	9	10	23	24	32	5
2015-08-31	5	8	9	12	18	48	24
2015-08-27	13	16	19	23	25	48	11
2015-08-24	5	7	8	23	29	33	42
2015-08-20	3	14	19	33	38	41	22
