T,L,S,M,R,A,E,V,J,U,Ph,il,age,dist,adia,sundist,sunadia
20160219,347.8093118866054,97.07140424814827,306.9622291221758,148.94655320710902,209.98929066509683,284.2698693851343,279.7191004454462,146.46978601104522,231.42201909492744,0.3921682213968274,0.8895626575808623,11.580958439436886,383938.84143896383,0.5187236523233112,147877162.1105015,0.5392851116550924
20160222,350.0516039114646,134.63978408131248,309.98524379372503,148.78769148697995,211.28307451061494,288.5403711186014,283.4287129085532,146.11319279963396,231.58057901425337,0.4895980846666337,0.9989324904325619,14.458119656806174,397054.87254977715,0.5015885004031334,147974778.35414138,0.5389293551712091
20160225,352.2918601975673,170.6583383720455,313.00418143228774,148.62882976685438,212.54000588722008,292.97879599120176,287.1390831624167,145.74476670801863,231.72559498568904,0.5825374869784153,0.9342573955914001,17.20267491864044,404674.541960233,0.4921440255057386,148076708.8829747,0.5385583761388495
20160229,355.2753759849769,218.2019401902255,317.0228133404103,148.41701414002688,214.1541396008723,299.1457064809123,292.08707252515114,145.23921938609132,231.89736347250175,0.7031805405433665,0.6449753573281802,20.765335310566222,402045.19240097865,0.4953626156070787,148218826.9131181,0.5380419852246309
20160303,356.9461599467362,246.05331490435407,319.2723329569311,148.29826500423732,215.02596317112318,302.7259259331323,294.8613028651416,144.95059987913922,231.9826523116009,0.7969423529804368,0.3546551899838323,23.53417682753665,390989.9028230148,0.5093690570064434,148329684.01417968,0.5376398689852022
20160307,359.9229870792553,300.53455559955023,323.27853505143526,148.08644937742136,216.5172706951232,309.3343470779789,299.8099568972939,144.43048229523868,232.11477120069466,0.936913444428986,0.038768547187590485,27.667605556194427,372062.88226850907,0.5352809097368445,148482594.007909,0.5370861979670977
20160310,2.152784435748945,345.0330118579327,326.2777323938593,147.92758765731446,217.57821609080514,314.4831397410981,303.52141593915087,144.03898825762678,232.19678698554102,0.052895223175275737,0.027360964356975825,1.5620270787258714,363811.9641886388,0.5474205845433254,148600687.22840965,0.5366593746462412
20160314,5.122295788862154,43.70731809914266,330.2691968861784,147.7157720305114,218.90943435493463,321.6156119580903,308.46969941216304,143.5199642577048,232.28306588815946,0.20468459815157178,0.3595532009524883,6.044456677145154,368807.9228382336,0.5400050968735688,148762069.71284354,0.5360771871078296
20160317,7.3470418035354434,84.30674442481126,333.25708586246753,147.5569103104145,219.84041287810675,327.1714998292141,312.1804856628314,143.13618213737655,232.3303133609822,0.30858155316754066,0.6799117678069095,9.112594920826195,381607.0970347585,0.5218932238093564,148885617.3758962,0.5356323416966319
20160321,10.310801242660162,134.34897848252524,337.23319462301043,147.3450946836244,220.98407659666947,334.85312071129954,317.12739044840964,142.63644116550395,232.36988987086823,0.43675205244297916,0.9610354594755637,12.897545215839408,398857.7239891371,0.4993213021127907,149053051.1098055,0.5350306571131556
20160324,12.532266757080883,170.209584327586,340.2094010489967,147.18623296353658,221.7629673220356,340.80278708414767,320.83681153678765,142.27365889632995,232.38197815847508,0.5285894869033655,0.9919546612565506,15.609558718315535,405172.6753186964,0.49153896654888757,149180210.12818065,0.5345746048452263
20160328,15.493495832388177,217.66692672158297,344.1697746736249,146.9744173367597,222.6876060069854,348.9178030895758,325.7814987137955,141.81020945326438,232.3746956474264,0.6495411546282412,0.7950576053945674,19.18133266805887,400883.0888842305,0.4967986019423087,149351211.79454556,0.5339625365055958
20160331,17.714785699298332,254.59572944847682,347.1341034507969,146.8155556166816,223.28942811419057,355.0462503774854,329.4889890493464,141.48050672178445,232.3517959783898,0.7433930454981843,0.5207503986463871,21.952834254179407,389185.0809007568,0.5117312247403076,149480107.2508879,0.53350210504031
20160404,20.678607864635808,308.6015770274905,351.0786003016427,146.60373998991764,223.96018664407845,3.0487729377366457,334.4307909123088,141.06836939723533,232.29828881033518,0.8822815681097887,0.13064663801406257,26.054294087795576,370619.4912076686,0.537365580668843,149652170.4475019,0.5328887088074385
20160407,22.90434922992796,353.2606038879537,354.0310332055482,146.44487826984954,224.3579599099348,8.721784282299334,338.13591608157736,140.78209508278414,232.24119469506837,0.9987832800224068,0.000014610965255013042,29.494658222802958,363477.0246030702,0.5479250258458227,149780924.37633976,0.532430629681689
20160411,25.878053806282892,53.06121007905539,357.9597445935984,146.23306264309852,224.73845535016528,15.535949010974559,343.0743444900126,140.43373192564215,232.14296158138245,0.15385705162156632,0.21599580328135015,4.543489306954003,370313.90766385506,0.5378090154820266,149951557.21255904,0.531824766360751
20160414,28.11460850240583,93.9615612443895,0.9004353464144792,146.07420092303977,224.90527125985156,19.90472199351474,346.7768084500025,140.19917697479858,232.05313727680286,0.25863473122169833,0.5271135023742008,7.637635866070328,383872.4126986255,0.5188134169369372,150078316.11279884,0.5313755774022775
20160418,31.107960884954373,143.46814100756046,4.8136773410194795,145.8623852963014,224.96149711962806,24.554895048195032,351.7115643225341,139.92419233199604,231.91259503983957,0.3853924882105882,0.8758698162452996,11.380867049708629,400483.17918141175,0.4972946891479427,150245076.84906355,0.5307857904729546
20160421,33.36368425186044,179.01933616879853,7.742944344754713,145.70352357625265,224.8744698344976,27.081362456435116,355.41121557929375,139.74746570438649,231.79220626037701,0.4764936614245623,0.9945564763822039,14.071138324155932,405457.9258620126,0.4911931556809139,150368037.55349857,0.5303517501292584
20160425,36.38931545276006,226.72055879453086,11.641246720881867,145.49170794952718,224.581639837445,29.10427413153902,0.3421946973926822,139.55256578463346,231.6127158374443,0.598237271864491,0.9077386425667318,17.666298808475624,399373.62044199306,0.4986762968460174,150528567.85046396,0.5297861596559009
20160428,38.67488898683557,263.8633297764241,14.559563836079048,145.33284622948847,224.22830798066175,29.609518218192832,4.039028113643065,139.4376490488972,231.4646366630308,0.6929793082931913,0.6753280389591655,20.464086916957147,387045.72974042187,0.5145597607641053,150646001.47497424,0.529373173527264
20160502,41.748804612220155,317.4000310277964,18.443656667561125,145.12103060277593,223.58104743723283,29.027701319091037,8.966319231925672,139.32681216458343,231.25049366234606,0.8308462974997788,0.25679672348627114,24.53538026776688,369159.1691766821,0.5394912946200764,150798056.94352186,0.5288393862386959
20160505,44.07767524815144,1.545136648764824,21.351642410826745,144.96216888274628,222.96805913239015,27.811782109441893,12.66047088206473,139.27574834842355,231.07828436654063,0.9458468762485104,0.028665053905892524,27.931415056757622,363313.3576133946,0.5481718575068913,150908330.72810185,0.5284529455413921
20160509,47.219931252547894,61.61764254001801,25.22244079182713,144.750353256047,221.99271970103234,25.555124273516224,17.584343344863473,139.25054024230502,230.83466811126127,0.10193216953864774,0.09908913299900318,3.0101169719058323,371831.6894880905,0.5356137298953345,151049808.58434156,0.5279579804000295
20160512,49.60889529073374,102.88574179727898,28.120846298986805,144.59149153602704,221.15487806016796,23.74318020637961,21.276076840595493,139.2637059261267,230.642520310286,0.20800703757874242,0.36960059080375735,6.142570269283146,385927.77974885865,0.5160503300114897,151151405.51717275,0.5276031116425154
