T,L,S,M,R,A,E,V,J,U,Ph,il,age,dist,adia,sundist,sunadia
20180618,83.36431375612892,133.6936400295852,63.578250600464294,103.91682927609888,284.84288923793355,78.24381654377218,101.79186292582891,200.04687706472623,252.44435350942803,0.17809158497653294,0.2817009321444842,5.259149343311262,366921.9442625353,0.5427807227509426,151992310.94457915,0.5246841197715485
20180621,86.68687457235347,174.4061886475546,66.44143431024278,103.75796755714617,285.0822360614248,83.82132133822046,105.26456171011156,199.86739484936953,252.2262548017992,0.2842565496258127,0.6067910700100626,8.394263246595884,378749.9892391593,0.5258301353356418,152023586.81997952,0.5245761762905545
20180625,91.32831152654457,224.78637847457537,70.25738282139677,103.54615193188256,285.23015144656136,90.72827719584944,109.87178316961432,199.66755640035652,251.93268413249933,0.41426105396191515,0.9291846559608792,12.2333727906926,396753.19316126587,0.5019698934572895,152055489.21958843,0.5244661162138864
20180628,94.9837833647295,260.77774512386674,73.11843099855287,103.38729021293994,285.20957783434505,95.50409288528812,113.30872440925077,199.54809121466806,251.7117279872694,0.5068943459598005,0.9995309512562092,14.96888843475649,404540.84681976686,0.49230667228204517,152071992.1568726,0.5244092008588576
20180702,100.11366533283493,308.0698181466228,76.93240115319631,103.17547458768925,285.0053760234141,101.32146271687174,117.86474448215387,199.43023336632317,251.41799709464644,0.6282303891127716,0.8463049381397638,18.55201321716561,402437.31420068356,0.4948799504230011,152084022.01574284,0.5243677200471787
20180705,104.16824574708338,344.8254343269945,79.79262123758637,103.01661286875662,284.7213873421469,105.25655328399985,121.26037135598821,199.37331117263352,251.19965724315477,0.7213859703774183,0.5894101285628903,21.302952370738204,391905.8435736673,0.5081785877034617,152085535.70943055,0.5243625010623214
20180709,109.8700742608236,38.83062386735149,83.60636469534573,102.80479724351886,284.17569679566816,109.89239201058882,125.7569746346702,199.33969303335823,250.913033238693,0.8576844839340386,0.1869265652730327,25.327927712274168,373026.1905323104,0.5338985925245631,152077535.44103009,0.5243900859435169
20180712,114.37804560422131,83.46137535343415,86.46707327374213,102.64593552459532,283.6499981993549,112.86832480114401,129.10444542821796,199.3462356664706,250.70269751952605,0.9727801758153267,0.0072947685141729335,28.7267712480605,364088.94694373285,0.5470041311931899,152064040.067683,0.5244366244938946
20180716,120.7037517110488,143.06002518297936,90.28234419519333,102.43411989937081,282.8128485830885,116.08048100427354,133.5314715171713,199.39714864847778,250.43022508035355,0.12978732695490988,0.157239705440276,3.832696168182121,368244.24669067963,0.5408316895369998,152036114.45767257,0.5245329516902522
20180719,125.68090025573116,184.084432481185,93.1448524592552,102.2752581804569,282.0999554466069,117.84602876276247,136.82228103793614,199.4667361597148,250.23303631029148,0.23705293745361916,0.45937044990235565,7.000312791328595,381033.86017193564,0.5226783730194817,152007786.8525316,0.5246307016979759
20180723,132.6078795672519,233.98019891980852,96.96338811539988,102.06344255524499,281.0668203875618,119.21246151399035,141.16702404872063,199.60086408003949,249.98133492293002,0.3657023938219128,0.8323079287515742,10.799406971246281,398640.31520629924,0.4995936198699176,151960302.12439454,0.5247946388966667
20180726,137.99610550538634,269.61511871109394,99.82898731538657,101.90458083634152,280.25415023148645,119.41167986759848,144.39046769681653,199.73200566538924,249.802048160156,0.45727202633457237,0.9820892285486711,13.503512124556385,405130.9505034551,0.4915895906064612,151917514.2007729,0.5249424485356297
20180730,145.38296075062038,317.1034640106875,103.65248868546682,101.69276521114249,279.1586174911217,118.50742796728785,148.63682354766047,199.94677876591243,249.577137162104,0.5789319488620095,0.9397599293703724,17.096201255554796,401100.8491427383,0.4965288867516865,151851094.72732428,0.5251720576871816
20180802,151.0264871482424,354.13457231602536,106.52243557233692,101.53390349224836,278.3550076618685,116.99571378198789,151.77923461879854,200.1371683378928,249.42000166320807,0.6729594426356521,0.7326883229838042,19.8728884987955,389736.580808301,0.5110070953230832,151794410.11620715,0.5253681727736118
20180806,158.6059560121005,47.786714865234615,110.35254792605753,101.32208786706231,277.3462508800606,114.16080721836553,155.90648555788604,200.4290857513891,249.2271623107272,0.8085929111534723,0.32005494046407307,23.878224668836978,371301.07491955074,0.5363791584582709,151709932.7309074,0.5256607161078333
20180809,164.2713337616177,91.86347493628529,113.22805018563453,101.16322614817754,276.66113861437356,111.8001396189431,158.9501467979017,200.67582762359723,249.09583357624484,0.9219252110952868,0.058965030326733225,27.224994202577086,363634.61508947995,0.5476875683328248,151640101.59483624,0.5259027858809853
20180813,171.71378747306116,151.6487193700922,117.06634366683477,100.95141052300477,275.8742165146466,109.0682831551494,162.93122556132252,201.04073441914977,248.93951317793665,0.07905851775334062,0.06042942574924337,2.3346445694243796,369606.5901904187,0.5388382225473716,151538687.42779726,0.5262547355637949
20180816,177.16028553250987,193.05783931123716,119.94854536972724,100.79254880412998,275.3964693302773,107.81250890134672,165.85281446141857,201.34053234794712,248.83699723612648,0.18750186760331014,0.30866370446174307,5.53704052892517,383101.73573192034,0.5198571019771184,151456639.3833895,0.5265398215929654
20180820,184.18105853218327,242.86055474345082,123.79649563014152,100.58073317897012,274.9289696615501,107.69019655472596,169.65182650655998,201.77384624213394,248.72075611314676,0.3159399744072289,0.7012806110492831,9.329893431789603,400196.6034293442,0.4976507956174144,151339643.124077,0.5269468741552273
20180823,189.23635720032038,278.3468556549043,126.6864627484108,100.42187146010474,274.71463108136106,108.91518440250945,172.42020013684703,202.12315468912973,248.64938513385198,0.40692080879081105,0.9169019231302007,12.01661102973437,405440.0147547223,0.4912148551012757,151246478.1934007,0.5272714633264077
20180827,195.67094598133764,326.2933071804677,130.54543172140143,100.21005583495777,274.6183033636761,112.29128519712235,175.9889068843999,202.62004358191814,248.57588343567426,0.5293702945156029,0.9915104724936425,15.632616426750731,399493.82927438966,0.4985262437263069,151115474.6679019,0.5277285602633195
20180830,200.26086442081422,3.9470690201758387,133.44413779744832,100.0511941161021,274.6900111381245,115.99537529651441,178.5619782824248,203.0151836222657,248.53731930305835,0.6250700668562786,0.8533977069163698,18.458687040512864,387312.4593654643,0.5142054000180674,151012452.17230737,0.5280885829799417
20180903,206.06877091623275,57.579377869648255,137.31535475202435,99.83937849096776,274.97615004834466,122.16031978167698,181.8348936312168,203.57069868521486,248.5083379507357,0.7612763363476713,0.4646039760557309,22.480938360500417,369551.2342735174,0.538918936345904,150869220.12019238,0.52858993913051
20180906,210.19885563651906,100.79291749118912,140.22366684593624,99.68051677212212,275.3304531061005,127.42071585794008,184.15535155645745,204.0079428904238,248.5035987821313,0.8722514223803753,0.15260483197837205,25.758097979859812,363359.4660327158,0.5481022973599052,150757745.43299302,0.5289807939947299
20180910,215.4225114065764,159.85034924293768,144.10820991856113,99.46870114700071,275.98201100537227,134.88052721622776,187.04321249254212,204.6171136116025,248.52008720377472,0.026650927560290763,0.006993737851152593,0.7870175797234225,371061.3145017351,0.5367257386220161,150604248.3796867,0.5295199354466305
20180913,219.14262919922885,201.38219490453363,147.02687500487812,99.30983942816505,276.599033765972,140.5928315229777,189.03306858808355,205.09274495844295,248.5495910222768,0.13531876271946305,0.17009590822145043,3.9960427225549817,384991.4387250944,0.5173054205036756,150485857.46802384,0.5299365217555101
